TransactionID,CustomerID,TransactionTime,TransactionAmount,MerchantCategory,TransactionMode,Location,AccountAgeDays,RiskScore,IsFraud,Hour,DayOfWeek
79,C004860,50:14.6,19.69,groceries,pos,"Toronto,CA",3334,22.17,0,23,Saturday
80,C000380,37:04.6,30.58,fashion,pos,"Dubai,AE",3218,22.2,0,21,Friday
81,C000493,08:14.6,103.22,education,online,"Sydney,AU",488,44.5,0,15,Sunday
82,C002063,00:19.6,24.63,fuel,online,"Bengaluru,IN",1545,22.18,0,21,Tuesday
83,C003885,19:51.6,57.12,digital_services,pos,"Singapore,SG",2129,22.26,0,10,Wednesday
84,C000065,09:54.6,37.43,travel,online,"Toronto,CA",2628,44.34,0,12,Saturday
85,C002569,19:16.6,63.77,electronics,atm,"San Francisco,US",822,0.16,0,14,Monday
86,C002028,31:43.6,3.14,healthcare,online,"Mumbai,IN",1150,22.13,0,9,Sunday
87,C002696,28:02.6,6.08,travel,atm,"New York,US",3634,0.01,0,20,Tuesday
88,C001496,50:17.6,114.34,digital_services,pos,"Sydney,AU",1606,22.4,0,8,Friday
89,C000392,50:48.6,189.54,education,atm,"San Francisco,US",3211,0.47,0,17,Friday
90,C004515,48:03.6,18.31,travel,pos,"Singapore,SG",1975,22.16,0,6,Thursday
91,C004475,08:32.6,40.74,fashion,pos,"Singapore,SG",2934,22.22,0,15,Sunday
92,C003562,28:58.6,77.76,groceries,online,"Remote,Unknown",1706,66.56,0,1,Friday
93,C002279,54:39.6,125.44,electronics,pos,"Mumbai,IN",2650,0.31,0,21,Monday
94,C003100,03:13.6,4.79,education,online,"San Francisco,US",3211,22.13,0,6,Monday
95,C000201,05:51.6,18.85,healthcare,online,"Mumbai,IN",72,22.17,0,6,Friday
96,C004876,47:16.6,36.63,others,pos,"Sydney,AU",2293,22.21,0,14,Saturday
97,C003105,50:23.6,126.95,fashion,pos,"Toronto,CA",579,22.44,0,21,Wednesday
98,C004599,10:25.6,1094.57,fashion,online,"Remote,Unknown",2690,98.6,0,3,Thursday
99,C002455,56:39.6,41.53,entertainment,pos,"Sydney,AU",1234,22.22,0,10,Friday
100,C003646,19:18.6,10.09,groceries,pos,"Remote,Unknown",194,22.14,0,15,Thursday
101,C000805,28:29.6,88.48,fuel,online,"San Francisco,US",538,44.46,0,5,Saturday
102,C002732,28:34.6,266.45,groceries,pos,"Toronto,CA",332,22.79,0,6,Friday
103,C002774,19:24.6,62.15,groceries,pos,"Berlin,DE",3583,22.27,0,13,Tuesday
104,C001571,32:12.6,18.39,gaming,online,"San Francisco,US",293,22.16,0,21,Thursday
105,C002691,40:40.6,172.36,fashion,pos,"Toronto,CA",730,44.67,0,3,Friday
106,C003841,07:38.6,121.06,fuel,pos,"London,UK",36,22.42,0,13,Thursday
107,C001029,35:55.6,15.94,utilities,pos,"Berlin,DE",1552,22.16,0,18,Wednesday
108,C000503,26:49.6,86.29,entertainment,online,"New York,US",1102,44.46,0,0,Sunday
109,C004494,21:23.6,180.68,groceries,pos,"San Francisco,US",3093,0.45,0,11,Thursday
110,C000871,01:12.6,225.49,others,online,"New York,US",1671,44.81,0,2,Thursday
111,C004489,15:35.6,50.41,telecom,online,"Bengaluru,IN",245,22.24,0,14,Thursday
112,C000207,07:55.6,35.53,utilities,online,"San Francisco,US",3467,22.21,0,9,Saturday
113,C001485,17:17.6,238.11,gaming,pos,"New York,US",2102,0.59,0,17,Monday
114,C000864,03:27.6,12.78,fuel,pos,"Mumbai,IN",1117,0.03,0,15,Thursday
115,C002791,20:45.6,92.42,groceries,online,"Bengaluru,IN",1850,22.35,0,9,Tuesday
116,C000564,12:33.6,10.55,electronics,online,"Bengaluru,IN",3365,22.15,0,22,Wednesday
117,C004192,41:45.6,196.07,utilities,online,"Mumbai,IN",1400,22.61,0,17,Thursday
118,C001758,24:36.6,40.06,utilities,online,"San Francisco,US",2224,22.22,0,9,Thursday
119,C001679,54:04.6,250.21,electronics,pos,"Sydney,AU",190,22.74,0,6,Friday
120,C003243,05:03.6,98.46,utilities,pos,"Dubai,AE",1782,44.49,0,5,Wednesday
121,C004637,11:30.6,12.58,travel,atm,"Remote,Unknown",2855,22.15,0,13,Tuesday
122,C001060,03:33.6,301.74,telecom,atm,"San Francisco,US",2012,22.87,0,4,Saturday
123,C001723,35:06.6,351.25,groceries,pos,"London,UK",1216,23,0,20,Wednesday
124,C003315,45:06.6,157.39,telecom,online,"Singapore,SG",616,44.64,0,16,Friday
125,C003158,57:12.6,21.89,healthcare,online,"Toronto,CA",68,44.3,0,21,Saturday
126,C002626,57:15.6,37.82,utilities,pos,"Mumbai,IN",2372,0.09,0,22,Thursday
127,C002730,16:23.6,65.01,digital_services,pos,"New York,US",1179,22.28,0,2,Thursday
128,C001598,19:15.6,23.47,restaurants,pos,"Toronto,CA",454,22.18,0,18,Wednesday
129,C003061,34:29.6,416.05,fuel,atm,"New York,US",2274,30.53,0,13,Friday
130,C002694,18:24.6,64.92,digital_services,pos,"Sydney,AU",3305,22.28,0,21,Saturday
131,C004892,53:40.6,2.13,electronics,online,"San Francisco,US",1532,22.12,0,13,Saturday
132,C003628,53:36.6,82.04,gaming,online,"Singapore,SG",2152,66.57,0,2,Saturday
133,C001364,28:56.6,35.95,groceries,pos,"Mumbai,IN",466,22.21,0,2,Friday
134,C001982,54:27.6,49.9,gaming,pos,"Berlin,DE",2476,44.37,0,2,Wednesday
135,C001664,38:40.6,35.08,groceries,online,"Berlin,DE",1776,44.33,0,6,Friday
136,C001530,38:47.6,143.8,gaming,pos,"Bengaluru,IN",3041,0.36,0,9,Monday
137,C002039,36:14.6,209.27,digital_services,pos,"Sydney,AU",2490,22.64,0,22,Saturday
138,C003303,18:45.6,76.68,gaming,pos,"London,UK",2772,44.43,0,0,Friday
139,C002238,57:22.6,36.34,utilities,online,"Singapore,SG",1150,44.33,0,19,Monday
140,C001307,05:39.6,51.96,fuel,pos,"London,UK",1060,44.37,0,1,Tuesday
141,C004030,47:51.6,55.9,groceries,pos,"Bengaluru,IN",3310,22.26,0,1,Friday
142,C002676,49:24.6,20.84,others,online,"Berlin,DE",1266,66.42,0,1,Friday
143,C001283,25:49.6,109.37,utilities,pos,"Mumbai,IN",133,22.39,0,2,Wednesday
144,C000710,53:24.6,94.83,telecom,pos,"Berlin,DE",892,22.36,0,17,Saturday
145,C004745,18:45.6,346.72,telecom,pos,"Berlin,DE",1251,22.99,0,19,Saturday
146,C004414,01:43.6,246.27,electronics,online,"Remote,Unknown",1427,44.86,0,10,Sunday
147,C003749,36:56.6,23.98,travel,atm,"Remote,Unknown",396,44.3,0,1,Thursday
148,C004780,26:35.6,146.11,entertainment,online,"Berlin,DE",2138,44.61,0,20,Sunday
149,C000664,17:53.6,17.44,fuel,pos,"Remote,Unknown",2303,22.16,0,6,Saturday
150,C001999,50:00.6,125.85,education,pos,"Mumbai,IN",3004,0.31,0,19,Wednesday
151,C003446,55:45.6,29.37,electronics,online,"Sydney,AU",83,66.44,1,1,Saturday
152,C003744,51:18.6,15.99,fashion,pos,"Bengaluru,IN",1524,22.16,0,3,Tuesday
153,C001496,21:56.6,76.41,gaming,pos,"Remote,Unknown",2699,22.31,0,20,Wednesday
154,C003305,54:10.6,2.2,groceries,pos,"San Francisco,US",3381,0,0,15,Sunday
155,C003764,37:08.6,6.68,restaurants,pos,"Singapore,SG",2580,44.26,0,3,Wednesday
156,C001854,18:55.6,44.12,utilities,online,"Remote,Unknown",841,66.47,0,1,Thursday
157,C004660,52:00.6,60.28,fashion,online,"Sydney,AU",1108,44.39,0,6,Wednesday
158,C001292,57:10.6,35.05,digital_services,online,"Remote,Unknown",2075,44.33,0,17,Wednesday
159,C003582,35:10.6,8.2,groceries,atm,"Bengaluru,IN",3063,0.02,0,11,Tuesday
160,C003458,43:36.6,20.46,travel,pos,"Berlin,DE",3642,44.29,0,1,Sunday
161,C001637,40:40.6,87.31,education,atm,"Sydney,AU",379,22.34,0,18,Friday
162,C003697,30:23.6,109.74,fashion,online,"London,UK",1925,44.52,0,17,Sunday
163,C003000,49:17.6,53.55,healthcare,pos,"Toronto,CA",3402,22.25,0,9,Sunday
164,C003153,53:04.6,218.81,utilities,online,"Berlin,DE",2441,66.91,0,1,Sunday
165,C000699,01:18.6,87.96,fashion,pos,"Berlin,DE",217,22.34,0,19,Wednesday
166,C002161,25:58.6,22.27,travel,online,"San Francisco,US",381,22.17,0,13,Saturday
167,C004098,45:12.6,38.99,telecom,online,"Singapore,SG",637,44.34,0,23,Friday
168,C004738,17:15.6,10.14,gaming,pos,"Toronto,CA",800,44.27,0,2,Wednesday
169,C000855,57:18.6,47.95,fuel,online,"London,UK",2556,44.36,0,13,Sunday
170,C003475,34:05.6,207.37,digital_services,pos,"London,UK",283,22.64,0,23,Friday
171,C001708,43:35.6,124.26,others,pos,"Remote,Unknown",214,22.43,0,15,Saturday
172,C002778,38:50.6,293.66,entertainment,pos,"London,UK",1180,44.98,0,5,Thursday
173,C001734,41:20.6,37.96,others,atm,"New York,US",2047,0.09,0,19,Tuesday
174,C004932,58:09.6,274.6,electronics,online,"London,UK",2578,44.93,0,14,Saturday
175,C003511,47:45.6,43.29,utilities,pos,"Dubai,AE",855,22.23,0,18,Thursday
176,C000203,45:48.6,319.23,restaurants,pos,"Sydney,AU",617,22.92,0,18,Friday
177,C003256,41:35.6,53.18,healthcare,pos,"Mumbai,IN",3231,0.13,0,23,Sunday
178,C004219,06:24.6,127.57,fashion,online,"Toronto,CA",2089,44.56,0,6,Tuesday
179,C004497,22:46.6,320.58,utilities,pos,"Toronto,CA",3577,22.92,0,9,Tuesday
180,C000767,17:44.6,43.29,fuel,online,"Berlin,DE",519,66.47,0,5,Sunday
181,C004390,18:03.6,70.96,digital_services,online,"Bengaluru,IN",1029,22.3,0,8,Sunday
182,C002328,58:27.6,256.37,travel,online,"Bengaluru,IN",1045,22.76,0,11,Friday
183,C002932,59:41.6,46.54,others,online,"Remote,Unknown",646,44.36,0,15,Sunday
184,C000198,37:11.6,11.19,entertainment,online,"New York,US",941,22.15,0,20,Monday
185,C001931,33:34.6,714.52,gaming,online,"Dubai,AE",242,97.65,0,1,Tuesday
186,C003583,08:35.6,31.07,others,online,"London,UK",931,44.32,0,6,Monday
187,C000609,41:47.6,66.06,others,online,"London,UK",2154,66.53,0,5,Tuesday
188,C003273,30:13.6,218.59,gaming,online,"London,UK",343,44.79,0,8,Thursday
189,C001148,07:43.6,26.31,utilities,pos,"New York,US",1667,22.18,0,0,Monday
190,C004283,04:42.6,16.29,restaurants,online,"New York,US",2465,22.16,0,6,Monday
191,C003398,15:50.6,74.03,electronics,online,"Dubai,AE",38,44.43,0,9,Sunday
192,C002512,45:01.6,6.35,electronics,online,"San Francisco,US",336,22.13,0,19,Wednesday
193,C001795,24:47.6,38.65,others,online,"New York,US",2521,22.22,0,11,Sunday
194,C000660,44:49.6,73.26,gaming,online,"Sydney,AU",2161,44.42,0,20,Tuesday
195,C002812,51:18.6,39.49,gaming,online,"Bengaluru,IN",251,44.34,0,3,Wednesday
196,C001370,23:33.6,8.57,entertainment,pos,"Berlin,DE",912,22.14,0,9,Thursday
197,C001987,02:48.6,369.82,healthcare,pos,"Sydney,AU",3417,45.17,0,3,Friday
198,C000147,08:09.6,61.82,education,atm,"London,UK",3143,22.27,0,19,Friday
199,C003220,52:40.6,304.11,telecom,pos,"Berlin,DE",264,45,0,3,Friday
200,C002912,40:06.6,39.96,telecom,pos,"Bengaluru,IN",899,0.1,0,6,Sunday
201,C001735,35:53.6,18.99,others,online,"Berlin,DE",581,44.29,0,22,Sunday
202,C001844,55:22.6,75.42,restaurants,pos,"Berlin,DE",2432,22.31,0,19,Saturday
203,C000489,05:32.6,42.14,telecom,online,"Mumbai,IN",1791,22.22,0,7,Saturday
204,C002977,27:04.6,13.29,fuel,pos,"Bengaluru,IN",2835,22.15,0,1,Saturday
205,C001960,04:33.6,318.54,restaurants,online,"Berlin,DE",1415,45.04,0,17,Friday
206,C002386,38:49.6,25.87,fuel,pos,"Sydney,AU",1010,22.18,0,6,Wednesday
207,C002920,40:28.6,6,healthcare,atm,"Singapore,SG",1622,44.26,0,4,Friday
208,C004737,46:12.6,268.75,others,atm,"Bengaluru,IN",1754,0.67,0,11,Saturday
209,C001803,12:08.6,29.81,fuel,online,"Mumbai,IN",562,22.19,0,7,Thursday
210,C004062,37:54.6,26.33,others,online,"Remote,Unknown",2521,44.31,0,7,Wednesday
211,C003370,10:35.6,6.56,others,pos,"Sydney,AU",3583,22.14,0,11,Wednesday
212,C000263,36:10.6,441.04,digital_services,pos,"Berlin,DE",1158,52.72,0,23,Saturday
213,C000624,47:47.6,11.62,restaurants,pos,"Sydney,AU",1413,22.15,0,22,Thursday
214,C001017,42:12.6,58.57,gaming,pos,"Toronto,CA",1766,22.27,0,6,Friday
215,C003644,24:41.6,163.23,travel,pos,"Toronto,CA",61,22.53,0,23,Monday
216,C004977,35:50.6,90.56,education,atm,"Dubai,AE",1766,22.35,0,16,Tuesday
217,C002050,26:44.6,50.83,others,pos,"Remote,Unknown",3542,44.37,0,0,Friday
218,C003724,56:03.6,7.09,travel,pos,"Toronto,CA",1375,44.26,0,4,Wednesday
219,C004549,35:25.6,20.66,education,pos,"Dubai,AE",3130,44.29,0,0,Saturday
220,C003109,47:01.6,68.4,fashion,pos,"New York,US",2966,0.17,0,13,Tuesday
221,C004091,27:19.6,21.23,restaurants,pos,"Mumbai,IN",3257,22.17,0,1,Friday
222,C002057,26:13.6,69.69,telecom,pos,"Toronto,CA",3275,22.29,0,20,Monday
223,C003171,02:08.6,123.73,gaming,atm,"Bengaluru,IN",3104,0.31,0,20,Wednesday
224,C001683,08:21.6,173.3,healthcare,pos,"Dubai,AE",657,44.67,0,0,Thursday
225,C002256,18:37.6,12.54,restaurants,online,"San Francisco,US",1978,22.15,0,21,Wednesday
226,C001155,01:54.6,762.02,electronics,pos,"New York,US",169,31.4,0,22,Saturday
227,C004500,26:03.6,137.14,digital_services,pos,"London,UK",1046,22.46,0,11,Wednesday
228,C003192,08:55.6,54.49,electronics,online,"Bengaluru,IN",2858,22.25,0,6,Monday
229,C001697,14:55.6,201.83,telecom,pos,"London,UK",1103,22.62,0,14,Saturday
230,C003992,35:24.6,933.08,others,pos,"Remote,Unknown",3208,76.07,0,5,Friday
231,C004724,09:27.6,9.71,education,pos,"London,UK",2350,44.27,0,0,Thursday
232,C004683,59:01.6,41.67,utilities,pos,"Sydney,AU",2736,44.35,0,1,Sunday
233,C001649,37:07.6,3.15,groceries,pos,"Berlin,DE",1907,22.13,0,11,Friday
234,C001446,08:36.6,68.8,fashion,atm,"Mumbai,IN",387,0.17,0,23,Sunday
235,C004200,27:04.6,84.65,entertainment,online,"Toronto,CA",1613,66.58,0,1,Tuesday
236,C003924,15:11.6,52.09,utilities,online,"Sydney,AU",1566,44.37,0,18,Monday
237,C000254,14:03.6,24.89,others,online,"Toronto,CA",3356,44.3,0,18,Wednesday
238,C003184,39:39.6,4.67,gaming,pos,"Bengaluru,IN",2377,22.13,0,2,Friday
239,C002558,46:36.6,85.48,telecom,online,"Sydney,AU",2508,44.46,0,12,Saturday
240,C000099,46:55.6,313.1,utilities,online,"Remote,Unknown",2201,67.15,0,4,Thursday
241,C002201,08:39.6,26.86,restaurants,pos,"Mumbai,IN",2773,0.06,0,22,Wednesday
242,C002962,37:50.6,92.58,education,online,"London,UK",1715,44.47,0,10,Monday
243,C004974,10:16.6,8.32,utilities,pos,"Singapore,SG",807,22.14,0,18,Sunday
244,C004434,30:22.6,94.51,groceries,pos,"New York,US",2535,0.23,0,14,Thursday
245,C003778,53:54.6,34.05,utilities,pos,"New York,US",2643,0.08,0,19,Tuesday
246,C002870,28:19.6,21.87,restaurants,online,"Mumbai,IN",3046,22.17,0,13,Thursday
247,C003235,59:12.6,21.92,electronics,pos,"Bengaluru,IN",3030,22.17,0,3,Saturday
248,C003792,12:16.6,34.04,utilities,online,"New York,US",641,22.2,0,17,Sunday
249,C000957,06:17.6,86.39,entertainment,pos,"Sydney,AU",1830,44.46,0,1,Monday
250,C004068,46:10.6,11.31,digital_services,pos,"San Francisco,US",2996,0.02,0,20,Saturday
251,C000161,00:28.6,33.9,digital_services,online,"Remote,Unknown",2239,44.33,0,8,Monday
252,C004494,46:40.6,51.95,telecom,online,"London,UK",2100,66.49,0,0,Monday
253,C001301,51:52.6,14.6,fuel,online,"Berlin,DE",2643,44.28,0,10,Sunday
254,C004912,22:34.6,471.54,fashion,online,"Remote,Unknown",2389,74.92,0,8,Friday
255,C003988,21:38.6,19.61,others,pos,"Berlin,DE",2573,22.17,0,21,Friday
256,C001528,20:28.6,24.45,groceries,pos,"Berlin,DE",17,44.3,0,14,Saturday
257,C001219,56:48.6,16.88,travel,online,"Remote,Unknown",242,66.41,0,5,Thursday
258,C004497,12:39.6,472.57,groceries,pos,"New York,US",3412,52.8,0,4,Friday
259,C004736,57:44.6,106.01,fuel,atm,"Mumbai,IN",1694,0.26,0,22,Monday
260,C003105,21:22.6,17.74,entertainment,pos,"Mumbai,IN",651,0.04,0,14,Saturday
261,C002736,35:59.6,205.92,others,online,"Sydney,AU",1435,44.76,0,7,Sunday
262,C004556,55:03.6,69.47,education,pos,"Berlin,DE",294,22.29,0,11,Sunday
263,C000955,08:50.6,74.34,gaming,pos,"San Francisco,US",3100,0.18,0,12,Thursday
264,C004566,48:19.6,36.11,electronics,pos,"New York,US",1434,0.09,0,21,Wednesday
265,C003447,22:44.6,22.21,travel,online,"Bengaluru,IN",2407,44.3,0,3,Thursday
266,C001046,46:37.6,81.89,restaurants,online,"New York,US",673,22.32,0,12,Monday
267,C001694,40:42.6,28.39,restaurants,pos,"London,UK",3068,22.19,0,13,Friday
268,C003437,06:40.6,483.04,fashion,pos,"Remote,Unknown",1440,74.95,0,2,Friday
269,C000563,29:53.6,11.9,travel,pos,"Sydney,AU",182,44.27,0,5,Tuesday
270,C002486,44:45.6,344.95,telecom,online,"Dubai,AE",2969,45.1,0,13,Friday
271,C003355,55:39.6,47.77,restaurants,pos,"San Francisco,US",792,22.24,0,2,Saturday
272,C000226,08:38.6,78.17,fashion,online,"Sydney,AU",667,66.56,0,0,Saturday
273,C004894,33:24.6,148.38,entertainment,online,"Sydney,AU",1838,66.74,0,5,Wednesday
274,C000960,15:36.6,25.63,travel,pos,"Berlin,DE",726,22.18,0,18,Sunday
275,C004549,43:10.6,154.02,entertainment,online,"Sydney,AU",3412,44.63,0,15,Wednesday
276,C003068,52:19.6,2.12,restaurants,online,"San Francisco,US",353,22.12,0,11,Saturday
277,C000816,51:30.6,23.01,others,pos,"Singapore,SG",69,22.18,0,15,Friday
278,C004755,45:47.6,18.01,digital_services,pos,"Sydney,AU",477,44.29,0,0,Wednesday
279,C004643,19:36.6,12.13,groceries,online,"Bengaluru,IN",325,22.15,0,9,Thursday
280,C003121,34:09.6,42.18,groceries,pos,"Toronto,CA",3566,44.35,0,4,Wednesday
281,C000017,39:50.6,86.74,others,online,"Remote,Unknown",1319,44.46,0,11,Friday
282,C001244,27:56.6,126.87,entertainment,online,"Berlin,DE",1233,44.56,0,11,Wednesday
283,C002206,46:02.6,72.9,digital_services,pos,"Mumbai,IN",1181,22.3,0,1,Monday
284,C002525,58:15.6,24.56,fashion,online,"Bengaluru,IN",1099,22.18,0,20,Wednesday
285,C001070,06:33.6,85.01,others,atm,"Bengaluru,IN",1878,22.33,0,5,Wednesday
286,C003445,46:13.6,63.38,electronics,online,"New York,US",2335,44.4,0,3,Tuesday
287,C002566,01:04.6,167.88,education,pos,"Dubai,AE",1255,22.54,0,16,Saturday
288,C001061,51:08.6,138.7,electronics,pos,"New York,US",1601,0.34,0,21,Monday
289,C002328,04:52.6,56.63,healthcare,atm,"New York,US",3343,0.14,0,19,Monday
290,C003421,36:38.6,18.6,fuel,online,"Bengaluru,IN",83,22.17,0,17,Monday
291,C000302,51:00.6,24.94,utilities,pos,"New York,US",1289,22.18,0,3,Tuesday
292,C004277,18:53.6,28.23,gaming,atm,"Berlin,DE",269,22.19,0,19,Tuesday
293,C000607,16:45.6,37.4,healthcare,online,"San Francisco,US",2936,22.21,0,17,Saturday
294,C003171,33:22.6,75.31,electronics,pos,"New York,US",301,22.31,0,5,Thursday
295,C000700,55:08.6,128.79,education,online,"Singapore,SG",1022,44.56,0,23,Saturday
